ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v,dtc_code,dtc_status,dtc_description
2026-06-02T18:30:00Z,690,0,21,80,25,5.4,13,1.1,2.0,17,335,0.72,,,
2026-06-02T18:30:01Z,730,0,22,81,25,5.7,14,1.4,2.2,18,335,0.71,,,
2026-06-02T18:30:02Z,1280,18,33,83,26,11.1,19,2.0,2.5,22,337,0.74,,,
2026-06-02T18:30:03Z,1840,42,41,85,27,18.8,26,2.8,3.1,27,339,0.77,,,
2026-06-02T18:30:04Z,2260,61,48,87,28,26.9,32,3.2,3.8,30,341,0.80,,,
2026-06-02T18:30:05Z,2710,83,57,89,29,39.3,43,3.7,4.6,32,342,0.82,P0301,stored,Cylinder 1 Misfire Detected
2026-06-02T18:30:06Z,2880,91,61,90,30,44.1,47,4.1,5.2,33,343,0.79,,,
2026-06-02T18:30:07Z,2500,88,50,91,31,35.7,36,3.8,5.0,34,341,0.76,,,
2026-06-02T18:30:08Z,2050,70,39,91,31,23.8,25,3.0,4.5,32,338,0.73,,,
2026-06-02T18:30:09Z,1510,44,31,90,30,14.0,19,2.4,4.0,28,336,0.71,,,
2026-06-02T18:30:10Z,850,0,23,89,29,6.9,15,1.8,3.4,20,335,0.70,,,
2026-06-02T18:30:11Z,720,0,21,88,28,5.6,13,1.3,2.8,18,335,0.71,,,
