ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v,dtc_code,dtc_status,dtc_description
2018-02-23T17:58:02.768Z,770.0,0.0,,89,-13.0,6.77,83.1,,,,,,,,
2018-02-23T17:58:03.067Z,770.0,0.0,,89,-13.0,6.77,83.1,,,,,,,,
2018-02-23T17:58:04.056Z,771.0,0.0,,89,-13.0,6.61,83.5,,,,,,,,
2018-02-23T17:58:05.015Z,772.0,0.0,,89,-12.0,6.55,83.5,,,,,,,,
2018-02-23T17:58:06.005Z,771.0,0.0,,89,-11.0,6.69,83.5,,,,,,,,
2018-02-23T17:58:07.024Z,772.0,0.0,,89,-10.0,6.77,83.1,,,,,,,,
2018-02-23T17:58:08.014Z,770.0,0.0,,89,-10.0,6.74,83.5,,,,,,,,
2018-02-23T17:58:09.063Z,770.0,0.0,,89,-9.0,6.8,83.5,,,,,,,,
2018-02-23T17:58:10.024Z,770.0,0.0,,89,-8.0,6.61,83.5,,,,,,,,
2018-02-23T17:58:11.013Z,768.0,0.0,,89,-8.0,6.72,83.5,,,,,,,,
2018-02-23T17:58:12.062Z,769.0,0.0,,89,-6.0,6.63,83.5,,,,,,,,
2018-02-23T17:58:13.081Z,893.0,0.0,,89,-5.0,9.05,83.5,,,,,,,,
2018-02-23T17:58:14.011Z,1038.0,0.0,,89,-2.0,7.02,83.5,,,,,,,,
2018-02-23T17:58:15.061Z,1007.0,0.0,,88,-4.0,8.8,83.5,,,,,,,,
2018-02-23T17:58:16.021Z,969.0,1.0,,88,-2.0,8.11,83.5,,,,,,,,
2018-02-23T17:58:17.010Z,941.0,1.0,,88,-2.0,8.66,83.5,,,,,,,,
2018-02-23T17:58:18.060Z,999.0,2.0,,88,-1.0,8.27,83.5,,,,,,,,
2018-02-23T17:58:19.020Z,911.0,1.0,,88,-1.0,8.3,83.5,,,,,,,,
2018-02-23T17:58:20.010Z,927.0,2.0,,88,0.0,8.63,83.5,,,,,,,,
2018-02-23T17:58:21.031Z,967.0,2.0,,88,1.0,8.44,83.5,,,,,,,,
2018-02-23T17:58:22.020Z,965.0,2.0,,88,1.0,8.61,83.5,,,,,,,,
2018-02-23T17:58:23.009Z,981.0,2.0,,88,2.0,8.05,83.5,,,,,,,,
2018-02-23T17:58:24.059Z,907.0,1.0,,88,1.0,7.99,83.5,,,,,,,,
2018-02-23T17:58:25.019Z,942.0,0.0,,88,2.0,8.55,83.1,,,,,,,,
2018-02-23T17:58:26.069Z,941.0,1.0,,88,2.0,8.44,83.1,,,,,,,,
2018-02-23T17:58:27.058Z,942.0,2.0,,88,3.0,8.3,83.5,,,,,,,,
2018-02-23T17:58:28.109Z,986.0,2.0,,88,3.0,8.58,83.5,,,,,,,,
2018-02-23T17:58:29.008Z,924.0,3.0,,88,4.0,8.24,83.5,,,,,,,,
2018-02-23T17:58:30.059Z,906.0,7.0,,88,4.0,8.97,83.5,,,,,,,,
2018-02-23T17:58:31.047Z,997.0,9.0,,88,5.0,10.49,83.5,,,,,,,,
2018-02-23T17:58:32.009Z,1336.0,12.0,,88,7.0,17.8,83.5,,,,,,,,
2018-02-23T17:58:33.060Z,2111.0,18.0,,88,11.0,27.08,83.5,,,,,,,,
2018-02-23T17:58:34.047Z,1465.0,19.0,,88,11.0,9.99,83.5,,,,,,,,
2018-02-23T17:58:35.008Z,982.0,18.0,,88,8.0,13.66,83.5,,,,,,,,
2018-02-23T17:58:36.059Z,906.0,10.0,,88,6.0,8.63,83.5,,,,,,,,
2018-02-23T17:58:37.047Z,901.0,7.0,,88,5.0,7.91,83.5,,,,,,,,
2018-02-23T17:58:38.008Z,899.0,6.0,,88,5.0,7.88,83.5,,,,,,,,
2018-02-23T17:58:39.057Z,948.0,3.0,,88,5.0,8.02,83.5,,,,,,,,
2018-02-23T17:58:40.046Z,975.0,5.0,,88,6.0,8.33,83.1,,,,,,,,
2018-02-23T17:58:41.036Z,1170.0,10.0,,88,9.0,14.86,83.5,,,,,,,,
2018-02-23T17:58:42.027Z,1805.0,15.0,,88,10.0,26.99,83.5,,,,,,,,
2018-02-23T17:58:43.016Z,2204.0,20.0,,88,13.0,33.05,80.0,,,,,,,,
2018-02-23T17:58:44.006Z,1666.0,20.0,,88,14.0,23.58,73.3,,,,,,,,
2018-02-23T17:58:45.086Z,1023.0,19.0,,88,13.0,7.22,83.5,,,,,,,,
2018-02-23T17:58:46.076Z,1037.0,17.0,,88,5.0,8.66,83.5,,,,,,,,
2018-02-23T17:58:47.066Z,1044.0,12.0,,88,6.0,8.24,83.5,,,,,,,,
2018-02-23T17:58:48.056Z,1029.0,4.0,,88,6.0,8.13,83.5,,,,,,,,
2018-02-23T17:58:49.046Z,1170.0,4.0,,88,7.0,8.38,83.5,,,,,,,,
2018-02-23T17:58:50.036Z,1103.0,7.0,,88,9.0,11.69,83.5,,,,,,,,
2018-02-23T17:58:51.028Z,1466.0,12.0,,88,11.0,26.22,83.5,,,,,,,,
2018-02-23T17:58:52.016Z,2074.0,18.0,,88,13.0,32.11,83.5,,,,,,,,
2018-02-23T17:58:53.006Z,1744.0,20.0,,88,14.0,27.27,78.4,,,,,,,,
2018-02-23T17:58:54.087Z,1574.0,27.0,,89,14.0,39.72,83.5,,,,,,,,
2018-02-23T17:58:55.016Z,2239.0,39.0,,89,14.0,83.77,83.5,,,,,,,,
2018-02-23T17:58:56.006Z,2541.0,46.0,,89,16.0,33.83,31.0,,,,,,,,
2018-02-23T17:58:57.086Z,2073.0,56.0,,89,15.0,44.94,83.5,,,,,,,,
2018-02-23T17:58:58.076Z,2407.0,65.0,,89,14.0,77.38,83.5,,,,,,,,
2018-02-23T17:58:59.066Z,2723.0,74.0,,89,15.0,90.49,83.5,,,,,,,,
2018-02-23T17:59:00.055Z,2290.0,75.0,,89,13.0,38.86,79.6,,,,,,,,
2018-02-23T17:59:01.046Z,2005.0,78.0,,89,12.0,68.3,83.5,,,,,,,,
2018-02-23T17:59:02.036Z,2140.0,84.0,,89,13.0,77.02,83.5,,,,,,,,
2018-02-23T17:59:03.025Z,2050.0,86.0,,89,13.0,23.69,83.5,,,,,,,,
2018-02-23T17:59:04.015Z,1753.0,86.0,,90,8.0,44.74,83.5,,,,,,,,
2018-02-23T17:59:05.005Z,1522.0,87.0,,90,11.0,23.97,31.0,,,,,,,,
2018-02-23T17:59:06.086Z,1426.0,87.0,,90,9.0,17.91,83.5,,,,,,,,
2018-02-23T17:59:07.075Z,1455.0,86.0,,90,6.0,14.3,83.5,,,,,,,,
2018-02-23T17:59:08.064Z,1444.0,85.0,,90,6.0,16.02,83.5,,,,,,,,
2018-02-23T17:59:09.055Z,1443.0,85.0,,90,7.0,16.72,83.5,,,,,,,,
2018-02-23T17:59:10.045Z,1443.0,85.0,,90,8.0,16.61,83.5,,,,,,,,
2018-02-23T17:59:11.035Z,1447.0,85.0,,90,8.0,16.24,83.5,,,,,,,,
2018-02-23T17:59:12.025Z,1450.0,86.0,,90,8.0,15.52,83.5,,,,,,,,
2018-02-23T17:59:13.016Z,1457.0,86.0,,90,9.0,15.24,83.5,,,,,,,,
2018-02-23T17:59:14.005Z,1468.0,87.0,,90,9.0,14.52,83.5,,,,,,,,
2018-02-23T17:59:15.025Z,1477.0,87.0,,90,9.0,12.86,83.5,,,,,,,,
2018-02-23T17:59:16.015Z,1477.0,88.0,,90,8.0,12.11,83.5,,,,,,,,
2018-02-23T17:59:17.006Z,1480.0,88.0,,90,8.0,11.86,83.5,,,,,,,,
2018-02-23T17:59:18.085Z,1489.0,88.0,,90,9.0,24.44,83.5,,,,,,,,
2018-02-23T17:59:19.075Z,1493.0,88.0,,90,11.0,26.05,83.5,,,,,,,,
2018-02-23T17:59:20.065Z,1502.0,89.0,,90,12.0,26.19,83.5,,,,,,,,
2018-02-23T17:59:21.055Z,1504.0,89.0,,90,12.0,26.13,83.5,,,,,,,,
2018-02-23T17:59:22.045Z,1504.0,89.0,,90,12.0,26.22,83.5,,,,,,,,
2018-02-23T17:59:23.035Z,1503.0,89.0,,90,11.0,25.91,83.5,,,,,,,,
2018-02-23T17:59:24.025Z,1472.0,88.0,,90,11.0,25.61,83.5,,,,,,,,
2018-02-23T17:59:25.016Z,1451.0,86.0,,90,11.0,25.05,83.5,,,,,,,,
2018-02-23T17:59:26.068Z,1451.0,85.0,,90,10.0,24.97,83.5,,,,,,,,
2018-02-23T17:59:27.084Z,1433.0,85.0,,90,6.0,13.05,83.5,,,,,,,,
2018-02-23T17:59:28.074Z,1435.0,85.0,,89,8.0,15.33,83.5,,,,,,,,
2018-02-23T17:59:29.069Z,1434.0,85.0,,89,9.0,15.49,83.5,,,,,,,,
2018-02-23T17:59:30.026Z,1161.0,84.0,,89,9.0,8.88,83.5,,,,,,,,
2018-02-23T17:59:31.015Z,1045.0,81.0,,89,8.0,9.13,83.5,,,,,,,,
2018-02-23T17:59:32.065Z,1934.0,80.0,,89,6.0,23.63,83.5,,,,,,,,
2018-02-23T17:59:33.055Z,1904.0,77.0,,89,10.0,37.11,83.5,,,,,,,,
2018-02-23T17:59:34.015Z,1854.0,72.0,,89,13.0,35.69,83.5,,,,,,,,
2018-02-23T17:59:35.005Z,1838.0,72.0,,89,12.0,34.8,83.5,,,,,,,,
2018-02-23T17:59:36.088Z,1848.0,72.0,,89,9.0,18.33,83.5,,,,,,,,
2018-02-23T17:59:37.075Z,1872.0,73.0,,89,9.0,21.58,83.5,,,,,,,,
2018-02-23T17:59:38.065Z,1902.0,74.0,,89,10.0,20.97,83.5,,,,,,,,
2018-02-23T17:59:39.055Z,1933.0,75.0,,89,10.0,23.94,83.5,,,,,,,,
2018-02-23T17:59:40.045Z,1965.0,77.0,,89,10.0,26.19,83.5,,,,,,,,
2018-02-23T17:59:41.035Z,2015.0,79.0,,89,11.0,39.16,83.5,,,,,,,,
2018-02-23T17:59:42.027Z,1670.0,80.0,,89,12.0,14.24,83.5,,,,,,,,
2018-02-23T17:59:43.015Z,1466.0,83.0,,89,9.0,39.44,43.1,,,,,,,,
2018-02-23T17:59:44.005Z,1381.0,84.0,,89,9.0,21.69,79.2,,,,,,,,
2018-02-23T17:59:45.087Z,1416.0,84.0,,89,7.0,12.66,83.5,,,,,,,,
2018-02-23T17:59:46.076Z,1417.0,84.0,,89,7.0,11.24,83.5,,,,,,,,
2018-02-23T17:59:47.065Z,1422.0,84.0,,89,7.0,11.36,83.5,,,,,,,,
2018-02-23T17:59:48.055Z,1428.0,84.0,,89,7.0,11.36,83.5,,,,,,,,
2018-02-23T17:59:49.045Z,1437.0,85.0,,89,7.0,11.66,83.5,,,,,,,,
2018-02-23T17:59:50.035Z,1443.0,85.0,,89,8.0,11.44,83.5,,,,,,,,
2018-02-23T17:59:51.025Z,1454.0,85.0,,89,8.0,11.61,83.5,,,,,,,,
2018-02-23T17:59:52.015Z,1458.0,86.0,,89,8.0,11.41,83.5,,,,,,,,
2018-02-23T17:59:53.036Z,1459.0,86.0,,89,9.0,12.99,83.5,,,,,,,,
2018-02-23T17:59:54.025Z,1464.0,87.0,,89,10.0,13.74,83.5,,,,,,,,
2018-02-23T17:59:55.015Z,1471.0,87.0,,89,10.0,14.02,83.5,,,,,,,,
2018-02-23T17:59:56.035Z,1470.0,87.0,,89,10.0,21.36,83.5,,,,,,,,
2018-02-23T17:59:57.055Z,1478.0,87.0,,89,11.0,25.47,83.5,,,,,,,,
2018-02-23T17:59:58.075Z,1483.0,88.0,,89,12.0,25.88,83.5,,,,,,,,
2018-02-23T17:59:59.005Z,1484.0,88.0,,89,12.0,25.88,83.5,,,,,,,,
2018-02-23T18:00:00.025Z,1490.0,88.0,,89,11.0,25.94,83.5,,,,,,,,
2018-02-23T18:00:01.044Z,1490.0,88.0,,89,11.0,26.13,83.5,,,,,,,,
2018-02-23T18:00:02.066Z,1494.0,88.0,,89,11.0,25.99,83.5,,,,,,,,
2018-02-23T18:00:03.084Z,1495.0,88.0,,89,11.0,25.99,83.5,,,,,,,,
2018-02-23T18:00:04.015Z,1488.0,88.0,,89,10.0,25.83,83.5,,,,,,,,
2018-02-23T18:00:05.066Z,1475.0,87.0,,89,10.0,25.44,83.5,,,,,,,,
2018-02-23T18:00:06.025Z,1447.0,86.0,,89,10.0,25.27,83.5,,,,,,,,
2018-02-23T18:00:07.015Z,1440.0,85.0,,89,9.0,11.83,83.5,,,,,,,,
2018-02-23T18:00:08.065Z,1429.0,84.0,,89,9.0,12.69,83.5,,,,,,,,
2018-02-23T18:00:09.026Z,1428.0,85.0,,89,6.0,13.02,83.5,,,,,,,,
