ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v,dtc_code,dtc_status,dtc_description
2018-03-21T19:09:16.713Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:17.073Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:18.004Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:19.053Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:20.044Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:21.063Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:22.053Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:23.043Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:24.003Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:25.053Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:26.043Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:27.003Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:28.054Z,0.0,0.0,,17,11.0,0.88,89.0,,,,,,,,
2018-03-21T19:09:29.043Z,1004.0,0.0,,17,13.0,19.94,83.1,,,,,,,,
2018-03-21T19:09:30.033Z,925.0,0.0,,17,27.0,16.02,83.1,,,,,,,,
2018-03-21T19:09:31.083Z,910.0,0.0,,17,26.0,15.58,83.1,,,,,,,,
2018-03-21T19:09:32.014Z,887.0,0.0,,17,24.0,15.33,83.1,,,,,,,,
2018-03-21T19:09:33.033Z,935.0,0.0,,18,24.0,15.91,83.1,,,,,,,,
2018-03-21T19:09:34.054Z,952.0,0.0,,18,23.0,16.72,83.1,,,,,,,,
2018-03-21T19:09:35.012Z,956.0,0.0,,18,22.0,16.52,83.1,,,,,,,,
2018-03-21T19:09:36.003Z,973.0,1.0,,18,22.0,16.94,83.1,,,,,,,,
2018-03-21T19:09:37.083Z,911.0,0.0,,18,21.0,15.86,83.1,,,,,,,,
2018-03-21T19:09:38.103Z,907.0,1.0,,18,20.0,16.08,83.1,,,,,,,,
2018-03-21T19:09:39.033Z,956.0,0.0,,18,20.0,16.94,83.1,,,,,,,,
2018-03-21T19:09:40.113Z,950.0,0.0,,18,20.0,16.94,83.1,,,,,,,,
2018-03-21T19:09:41.133Z,950.0,1.0,,18,19.0,17.16,83.1,,,,,,,,
2018-03-21T19:09:42.003Z,940.0,1.0,,18,19.0,16.83,83.1,,,,,,,,
2018-03-21T19:09:43.084Z,959.0,1.0,,18,18.0,16.83,83.1,,,,,,,,
2018-03-21T19:09:44.133Z,959.0,1.0,,18,18.0,17.22,83.1,,,,,,,,
2018-03-21T19:09:45.063Z,943.0,1.0,,18,18.0,16.94,83.1,,,,,,,,
2018-03-21T19:09:46.083Z,935.0,2.0,,18,17.0,16.94,83.1,,,,,,,,
2018-03-21T19:09:47.133Z,935.0,2.0,,18,17.0,15.83,83.1,,,,,,,,
2018-03-21T19:09:48.033Z,913.0,6.0,,18,17.0,16.44,83.1,,,,,,,,
2018-03-21T19:09:49.082Z,1094.0,9.0,,18,17.0,16.44,83.1,,,,,,,,
2018-03-21T19:09:50.132Z,1094.0,9.0,,18,17.0,22.38,83.1,,,,,,,,
2018-03-21T19:09:51.032Z,1493.0,13.0,,18,19.0,26.83,83.1,,,,,,,,
2018-03-21T19:09:52.082Z,1583.0,14.0,,18,19.0,26.83,83.1,,,,,,,,
2018-03-21T19:09:53.012Z,1622.0,14.0,,18,19.0,29.19,83.1,,,,,,,,
2018-03-21T19:09:54.032Z,1558.0,14.0,,18,19.0,29.72,83.1,,,,,,,,
2018-03-21T19:09:55.022Z,1491.0,13.0,,18,18.0,26.3,83.1,,,,,,,,
2018-03-21T19:09:56.013Z,1449.0,13.0,,18,17.0,25.49,83.1,,,,,,,,
2018-03-21T19:09:57.062Z,1458.0,12.0,,18,17.0,25.11,83.1,,,,,,,,
2018-03-21T19:09:58.052Z,1519.0,13.0,,18,17.0,27.33,83.1,,,,,,,,
2018-03-21T19:09:59.043Z,1739.0,15.0,,18,17.0,38.52,83.1,,,,,,,,
