ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v,dtc_code,dtc_status,dtc_description
2018-03-26T18:06:33.719Z,1003.0,17.0,,90,18.0,7.13,83.5,,,,,,,,
2018-03-26T18:06:34.079Z,1003.0,17.0,,90,18.0,7.13,83.5,,,,,,,,
2018-03-26T18:06:35.009Z,1051.0,18.0,,90,14.0,8.58,83.5,,,,,,,,
2018-03-26T18:06:36.059Z,1126.0,19.0,,90,15.0,9.02,83.5,,,,,,,,
2018-03-26T18:06:37.079Z,1196.0,21.0,,90,16.0,9.97,83.5,,,,,,,,
2018-03-26T18:06:38.039Z,1190.0,20.0,,90,17.0,10.66,83.5,,,,,,,,
2018-03-26T18:06:39.059Z,1250.0,21.0,,90,18.0,8.97,83.5,,,,,,,,
2018-03-26T18:06:40.079Z,1339.0,23.0,,90,17.0,10.52,83.5,,,,,,,,
2018-03-26T18:06:41.009Z,1420.0,24.0,,90,19.0,11.22,83.5,,,,,,,,
2018-03-26T18:06:42.029Z,1502.0,26.0,,90,19.0,13.13,83.5,,,,,,,,
2018-03-26T18:06:43.050Z,1516.0,26.0,,90,19.0,13.66,83.5,,,,,,,,
2018-03-26T18:06:44.040Z,1482.0,25.0,,90,20.0,25.8,83.5,,,,,,,,
2018-03-26T18:06:45.090Z,1495.0,26.0,,90,21.0,13.19,83.5,,,,,,,,
2018-03-26T18:06:46.050Z,1535.0,26.0,,90,19.0,12.27,83.5,,,,,,,,
2018-03-26T18:06:47.069Z,1509.0,26.0,,90,18.0,12.66,83.5,,,,,,,,
2018-03-26T18:06:48.059Z,1508.0,26.0,,90,19.0,13.27,83.5,,,,,,,,
2018-03-26T18:06:49.019Z,1516.0,26.0,,89,19.0,13.05,83.5,,,,,,,,
2018-03-26T18:06:50.069Z,884.0,25.0,,89,18.0,24.08,83.5,,,,,,,,
2018-03-26T18:06:51.090Z,884.0,13.0,,89,20.0,7.86,83.5,,,,,,,,
2018-03-26T18:06:52.050Z,889.0,8.0,,89,14.0,8.33,83.5,,,,,,,,
2018-03-26T18:06:53.069Z,892.0,6.0,,89,14.0,7.8,83.5,,,,,,,,
2018-03-26T18:06:54.030Z,897.0,5.0,,89,14.0,7.97,83.5,,,,,,,,
2018-03-26T18:06:55.079Z,914.0,5.0,,89,14.0,8.36,83.5,,,,,,,,
2018-03-26T18:06:56.040Z,864.0,8.0,,89,14.0,9.69,83.5,,,,,,,,
2018-03-26T18:06:57.029Z,1006.0,9.0,,89,16.0,7.69,83.5,,,,,,,,
2018-03-26T18:06:58.079Z,902.0,9.0,,89,15.0,8.24,83.5,,,,,,,,
2018-03-26T18:06:59.040Z,900.0,8.0,,89,15.0,8.08,83.5,,,,,,,,
2018-03-26T18:07:00.059Z,900.0,7.0,,89,15.0,8.02,83.5,,,,,,,,
2018-03-26T18:07:01.079Z,900.0,5.0,,89,15.0,7.97,83.5,,,,,,,,
2018-03-26T18:07:02.040Z,900.0,4.0,,89,15.0,7.91,83.5,,,,,,,,
2018-03-26T18:07:03.029Z,770.0,2.0,,89,15.0,7.47,83.5,,,,,,,,
2018-03-26T18:07:04.079Z,768.0,1.0,,89,14.0,6.83,83.5,,,,,,,,
2018-03-26T18:07:05.069Z,885.0,2.0,,89,15.0,7.41,83.5,,,,,,,,
2018-03-26T18:07:06.060Z,882.0,7.0,,89,16.0,8.27,83.5,,,,,,,,
2018-03-26T18:07:07.049Z,882.0,7.0,,89,16.0,15.52,83.5,,,,,,,,
2018-03-26T18:07:08.100Z,1178.0,13.0,,89,22.0,15.97,64.3,,,,,,,,
2018-03-26T18:07:09.000Z,906.0,13.0,,89,15.0,15.97,64.3,,,,,,,,
2018-03-26T18:07:10.050Z,906.0,13.0,,89,15.0,8.22,83.5,,,,,,,,
2018-03-26T18:07:11.100Z,920.0,13.0,,89,16.0,8.02,83.5,,,,,,,,
2018-03-26T18:07:12.000Z,904.0,10.0,,89,16.0,7.97,83.5,,,,,,,,
2018-03-26T18:07:13.049Z,900.0,10.0,,89,16.0,7.97,83.5,,,,,,,,
2018-03-26T18:07:14.099Z,900.0,5.0,,89,16.0,7.97,83.5,,,,,,,,
2018-03-26T18:07:15.149Z,840.0,3.0,,89,16.0,7.11,83.5,,,,,,,,
2018-03-26T18:07:16.049Z,912.0,3.0,,89,16.0,7.11,83.5,,,,,,,,
2018-03-26T18:07:17.039Z,912.0,4.0,,89,15.0,8.49,83.5,,,,,,,,
2018-03-26T18:07:18.029Z,1017.0,9.0,,89,17.0,11.44,83.5,,,,,,,,
2018-03-26T18:07:19.139Z,1750.0,16.0,,89,23.0,11.44,83.5,,,,,,,,
2018-03-26T18:07:20.039Z,1750.0,16.0,,89,23.0,14.11,83.5,,,,,,,,
2018-03-26T18:07:21.030Z,982.0,17.0,,89,18.0,9.91,83.5,,,,,,,,
2018-03-26T18:07:22.019Z,1189.0,20.0,,89,20.0,11.41,83.5,,,,,,,,
2018-03-26T18:07:23.069Z,1180.0,20.0,,89,19.0,10.38,83.5,,,,,,,,
2018-03-26T18:07:24.030Z,1153.0,20.0,,89,19.0,10.13,83.5,,,,,,,,
2018-03-26T18:07:25.018Z,1149.0,20.0,,89,19.0,10.19,83.5,,,,,,,,
2018-03-26T18:07:26.069Z,1044.0,18.0,,89,19.0,9.44,83.5,,,,,,,,
2018-03-26T18:07:27.089Z,987.0,17.0,,89,22.0,15.47,83.5,,,,,,,,
2018-03-26T18:07:28.018Z,928.0,16.0,,89,21.0,14.61,83.5,,,,,,,,
2018-03-26T18:07:29.039Z,900.0,15.0,,89,21.0,7.86,83.5,,,,,,,,
2018-03-26T18:07:30.059Z,893.0,15.0,,89,15.0,8.13,83.5,,,,,,,,
2018-03-26T18:07:31.019Z,884.0,14.0,,89,16.0,7.69,83.5,,,,,,,,
2018-03-26T18:07:32.038Z,892.0,11.0,,89,16.0,7.91,83.5,,,,,,,,
2018-03-26T18:07:33.059Z,898.0,11.0,,89,16.0,7.97,83.5,,,,,,,,
2018-03-26T18:07:34.020Z,809.0,12.0,,89,16.0,7.61,83.5,,,,,,,,
2018-03-26T18:07:35.008Z,843.0,14.0,,89,16.0,9.05,83.5,,,,,,,,
2018-03-26T18:07:36.059Z,1063.0,18.0,,89,17.0,10.61,83.5,,,,,,,,
2018-03-26T18:07:37.019Z,1065.0,18.0,,89,18.0,9.19,83.5,,,,,,,,
2018-03-26T18:07:38.039Z,1057.0,18.0,,89,18.0,8.58,83.5,,,,,,,,
2018-03-26T18:07:39.059Z,1123.0,19.0,,89,18.0,9.27,83.5,,,,,,,,
2018-03-26T18:07:40.079Z,1321.0,22.0,,89,19.0,10.22,83.5,,,,,,,,
2018-03-26T18:07:41.009Z,1423.0,24.0,,89,21.0,12.13,83.5,,,,,,,,
2018-03-26T18:07:42.059Z,1511.0,26.0,,89,21.0,14.55,83.5,,,,,,,,
2018-03-26T18:07:43.019Z,1625.0,28.0,,89,22.0,17.91,83.5,,,,,,,,
2018-03-26T18:07:44.010Z,1388.0,31.0,,89,23.0,22.55,83.5,,,,,,,,
2018-03-26T18:07:45.059Z,1038.0,32.0,,89,19.0,19.88,83.5,,,,,,,,
2018-03-26T18:07:46.020Z,1222.0,33.0,,89,19.0,14.33,83.5,,,,,,,,
2018-03-26T18:07:47.009Z,1345.0,34.0,,89,21.0,13.69,83.5,,,,,,,,
2018-03-26T18:07:48.059Z,1404.0,38.0,,89,21.0,14.94,83.5,,,,,,,,
2018-03-26T18:07:49.020Z,1475.0,39.0,,89,21.0,28.97,83.5,,,,,,,,
2018-03-26T18:07:50.010Z,1637.0,44.0,,89,23.0,44.91,83.5,,,,,,,,
2018-03-26T18:07:51.059Z,1250.0,48.0,,89,24.0,11.99,31.0,,,,,,,,
2018-03-26T18:07:52.020Z,898.0,48.0,,89,19.0,12.74,83.5,,,,,,,,
2018-03-26T18:07:53.008Z,1074.0,48.0,,89,17.0,11.38,83.5,,,,,,,,
2018-03-26T18:07:54.059Z,1593.0,43.0,,89,20.0,27.88,83.5,,,,,,,,
2018-03-26T18:07:55.020Z,1516.0,41.0,,89,23.0,26.58,83.5,,,,,,,,
2018-03-26T18:07:56.010Z,1455.0,39.0,,89,23.0,25.08,83.5,,,,,,,,
2018-03-26T18:07:57.060Z,1384.0,37.0,,89,22.0,24.55,83.5,,,,,,,,
2018-03-26T18:07:58.048Z,1378.0,37.0,,89,21.0,10.02,83.5,,,,,,,,
2018-03-26T18:07:59.009Z,1353.0,36.0,,90,18.0,13.3,83.5,,,,,,,,
2018-03-26T18:08:00.060Z,1295.0,35.0,,90,19.0,22.49,83.5,,,,,,,,
2018-03-26T18:08:01.050Z,1273.0,34.0,,90,21.0,21.08,83.5,,,,,,,,
2018-03-26T18:08:02.009Z,1253.0,34.0,,90,21.0,20.91,83.5,,,,,,,,
2018-03-26T18:08:03.060Z,1205.0,33.0,,90,21.0,20.36,83.5,,,,,,,,
2018-03-26T18:08:04.018Z,896.0,30.0,,90,20.0,19.58,83.5,,,,,,,,
2018-03-26T18:08:05.069Z,892.0,26.0,,90,16.0,8.27,83.5,,,,,,,,
2018-03-26T18:08:06.058Z,1052.0,25.0,,90,14.0,11.02,83.5,,,,,,,,
2018-03-26T18:08:07.049Z,1358.0,23.0,,90,15.0,20.55,83.5,,,,,,,,
2018-03-26T18:08:08.039Z,1374.0,23.0,,90,21.0,12.47,83.5,,,,,,,,
2018-03-26T18:08:09.028Z,1403.0,24.0,,90,18.0,11.72,83.5,,,,,,,,
2018-03-26T18:08:10.018Z,1469.0,25.0,,90,19.0,12.22,83.5,,,,,,,,
2018-03-26T18:08:11.009Z,1531.0,26.0,,89,19.0,12.77,83.5,,,,,,,,
2018-03-26T18:08:12.088Z,1461.0,25.0,,89,20.0,13.36,83.5,,,,,,,,
2018-03-26T18:08:13.079Z,1389.0,24.0,,89,22.0,23.77,83.5,,,,,,,,
2018-03-26T18:08:14.008Z,1318.0,22.0,,89,22.0,16.13,83.5,,,,,,,,
2018-03-26T18:08:15.028Z,1269.0,22.0,,89,21.0,11.69,83.5,,,,,,,,
2018-03-26T18:08:16.049Z,1203.0,20.0,,89,18.0,19.91,83.5,,,,,,,,
2018-03-26T18:08:17.039Z,1139.0,19.0,,89,20.0,18.41,83.5,,,,,,,,
2018-03-26T18:08:18.030Z,1076.0,18.0,,89,21.0,17.19,83.5,,,,,,,,
2018-03-26T18:08:19.018Z,1009.0,17.0,,89,20.0,16.11,83.5,,,,,,,,
2018-03-26T18:08:20.009Z,949.0,16.0,,89,20.0,14.72,83.5,,,,,,,,
