ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v,dtc_code,dtc_status,dtc_description
2018-03-29T16:45:10.700Z,890.0,0.0,,21,19.0,10.38,83.1,,,,,,,,
2018-03-29T16:45:11.059Z,890.0,0.0,,20,19.0,10.38,83.1,,,,,,,,
2018-03-29T16:46:32.239Z,890.0,0.0,,20,18.0,0.0,83.1,,,,,,,,
2018-03-29T16:46:33.079Z,1063.0,0.0,,24,46.0,0.0,88.6,,,,,,,,
2018-03-29T16:46:34.069Z,951.0,0.0,,24,45.0,10.16,83.1,,,,,,,,
2018-03-29T16:46:35.089Z,899.0,0.0,,24,31.0,9.72,83.1,,,,,,,,
2018-03-29T16:46:36.050Z,876.0,0.0,,24,23.0,9.77,83.1,,,,,,,,
2018-03-29T16:46:37.039Z,859.0,0.0,,24,18.0,9.72,83.1,,,,,,,,
2018-03-29T16:46:38.000Z,847.0,0.0,,24,14.0,10.08,83.1,,,,,,,,
2018-03-29T16:46:39.079Z,877.0,0.0,,24,12.0,10.11,83.1,,,,,,,,
2018-03-29T16:46:40.010Z,881.0,0.0,,24,10.0,10.02,83.1,,,,,,,,
2018-03-29T16:46:41.029Z,883.0,0.0,,24,7.0,10.38,83.1,,,,,,,,
2018-03-29T16:46:42.049Z,883.0,0.0,,24,6.0,10.63,83.1,,,,,,,,
2018-03-29T16:46:43.070Z,881.0,0.0,,24,5.0,10.05,83.1,,,,,,,,
2018-03-29T16:46:44.000Z,880.0,0.0,,24,5.0,10.3,83.1,,,,,,,,
2018-03-29T16:46:45.049Z,951.0,0.0,,23,5.0,11.72,83.5,,,,,,,,
2018-03-29T16:46:46.070Z,942.0,0.0,,23,6.0,11.08,83.1,,,,,,,,
2018-03-29T16:46:47.089Z,949.0,0.0,,23,6.0,10.99,83.1,,,,,,,,
2018-03-29T16:46:48.050Z,950.0,0.0,,23,6.0,11.13,83.1,,,,,,,,
2018-03-29T16:46:49.039Z,943.0,0.0,,23,6.0,11.16,83.1,,,,,,,,
2018-03-29T16:46:50.001Z,961.0,0.0,,23,6.0,11.27,83.1,,,,,,,,
2018-03-29T16:46:51.079Z,961.0,0.0,,23,6.0,11.27,83.1,,,,,,,,
2018-03-29T16:46:52.069Z,950.0,1.0,,23,7.0,11.3,83.5,,,,,,,,
2018-03-29T16:46:53.000Z,954.0,1.0,,23,7.0,10.94,83.1,,,,,,,,
2018-03-29T16:46:54.019Z,906.0,1.0,,23,7.0,10.27,83.1,,,,,,,,
2018-03-29T16:46:55.040Z,955.0,2.0,,23,7.0,11.24,83.1,,,,,,,,
2018-03-29T16:46:56.090Z,938.0,4.0,,23,8.0,11.3,83.1,,,,,,,,
2018-03-29T16:46:57.020Z,902.0,6.0,,23,9.0,11.38,83.1,,,,,,,,
2018-03-29T16:46:58.040Z,921.0,8.0,,23,9.0,12.3,83.1,,,,,,,,
2018-03-29T16:46:59.030Z,1450.0,9.0,,23,10.0,17.99,83.5,,,,,,,,
2018-03-29T16:47:00.019Z,1759.0,16.0,,23,12.0,23.05,83.1,,,,,,,,
2018-03-29T16:47:01.040Z,1836.0,16.0,,23,14.0,21.16,83.1,,,,,,,,
2018-03-29T16:47:02.060Z,1469.0,16.0,,23,13.0,12.61,83.5,,,,,,,,
2018-03-29T16:47:03.020Z,976.0,17.0,,23,12.0,13.94,83.5,,,,,,,,
2018-03-29T16:47:04.040Z,1050.0,18.0,,23,11.0,13.63,83.1,,,,,,,,
2018-03-29T16:47:05.029Z,1040.0,18.0,,23,12.0,12.47,83.1,,,,,,,,
2018-03-29T16:47:06.079Z,1034.0,18.0,,23,12.0,12.74,83.1,,,,,,,,
2018-03-29T16:47:07.040Z,1064.0,18.0,,23,12.0,13.41,83.1,,,,,,,,
2018-03-29T16:47:08.089Z,1202.0,18.0,,23,13.0,14.3,83.1,,,,,,,,
2018-03-29T16:47:09.020Z,1292.0,22.0,,23,14.0,16.52,83.1,,,,,,,,
2018-03-29T16:47:10.040Z,1334.0,23.0,,23,14.0,15.58,83.1,,,,,,,,
2018-03-29T16:47:11.029Z,1350.0,23.0,,23,14.0,15.72,83.1,,,,,,,,
2018-03-29T16:47:12.079Z,1379.0,24.0,,24,14.0,15.97,83.1,,,,,,,,
2018-03-29T16:47:13.040Z,1365.0,23.0,,24,14.0,15.05,83.1,,,,,,,,
2018-03-29T16:47:14.059Z,1323.0,23.0,,24,14.0,14.33,83.1,,,,,,,,
2018-03-29T16:47:15.020Z,1255.0,21.0,,24,14.0,13.63,83.5,,,,,,,,
2018-03-29T16:47:16.040Z,1139.0,19.0,,24,14.0,12.24,83.1,,,,,,,,
2018-03-29T16:47:17.029Z,1170.0,20.0,,24,14.0,13.33,83.1,,,,,,,,
2018-03-29T16:47:18.079Z,1200.0,20.0,,24,14.0,15.24,83.1,,,,,,,,
2018-03-29T16:47:19.040Z,1343.0,22.0,,24,15.0,16.05,83.5,,,,,,,,
2018-03-29T16:47:20.029Z,1400.0,24.0,,24,16.0,15.72,83.1,,,,,,,,
2018-03-29T16:47:21.019Z,1329.0,23.0,,24,15.0,14.13,83.1,,,,,,,,
2018-03-29T16:47:22.040Z,1225.0,21.0,,24,15.0,12.69,83.5,,,,,,,,
2018-03-29T16:47:23.029Z,1057.0,19.0,,24,15.0,13.47,83.1,,,,,,,,
2018-03-29T16:47:24.020Z,964.0,18.0,,24,13.0,10.58,83.1,,,,,,,,
2018-03-29T16:47:25.070Z,951.0,14.0,,25,13.0,11.05,83.1,,,,,,,,
