ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v,dtc_code,dtc_status,dtc_description
2018-02-18T07:08:08.029Z,0.0,0.0,,8,2.0,0.86,88.6,,,,,,,,
2018-02-18T07:08:09.019Z,0.0,0.0,,8,2.0,0.86,88.6,,,,,,,,
2018-02-18T07:08:10.009Z,0.0,0.0,,8,2.0,0.86,88.6,,,,,,,,
2018-02-18T07:08:11.089Z,198.0,0.0,,8,3.0,2.74,88.6,,,,,,,,
2018-02-18T07:08:12.019Z,1117.0,0.0,,8,9.0,18.69,83.1,,,,,,,,
2018-02-18T07:08:13.009Z,1030.0,0.0,,8,15.0,17.47,83.1,,,,,,,,
2018-02-18T07:08:14.029Z,972.0,0.0,,8,18.0,16.74,83.1,,,,,,,,
2018-02-18T07:08:15.019Z,959.0,0.0,,8,16.0,16.41,83.5,,,,,,,,
2018-02-18T07:08:16.009Z,968.0,0.0,,8,14.0,16.13,83.1,,,,,,,,
2018-02-18T07:08:17.133Z,947.0,0.0,,8,14.0,16.08,83.5,,,,,,,,
2018-02-18T07:08:18.049Z,1001.0,0.0,,8,13.0,16.94,83.1,,,,,,,,
2018-02-18T07:08:19.039Z,968.0,0.0,,8,13.0,16.88,83.1,,,,,,,,
2018-02-18T07:08:20.029Z,992.0,0.0,,8,13.0,17.38,83.5,,,,,,,,
2018-02-18T07:08:21.019Z,999.0,0.0,,8,12.0,17.3,83.5,,,,,,,,
2018-02-18T07:08:22.010Z,974.0,0.0,,8,12.0,17.16,83.1,,,,,,,,
2018-02-18T07:08:23.000Z,963.0,1.0,,8,12.0,16.99,83.5,,,,,,,,
2018-02-18T07:08:24.079Z,1013.0,2.0,,8,11.0,17.08,83.5,,,,,,,,
2018-02-18T07:08:25.069Z,979.0,2.0,,8,11.0,17.94,83.1,,,,,,,,
2018-02-18T07:08:26.059Z,965.0,2.0,,8,10.0,17.41,83.1,,,,,,,,
2018-02-18T07:08:27.049Z,999.0,2.0,,8,10.0,17.77,83.1,,,,,,,,
2018-02-18T07:08:28.071Z,983.0,2.0,,8,10.0,17.44,83.5,,,,,,,,
2018-02-18T07:08:29.029Z,996.0,2.0,,8,10.0,17.86,83.1,,,,,,,,
2018-02-18T07:08:30.019Z,950.0,1.0,,8,9.0,17.05,83.5,,,,,,,,
2018-02-18T07:08:31.069Z,945.0,3.0,,8,9.0,16.91,83.5,,,,,,,,
2018-02-18T07:08:32.059Z,965.0,5.0,,8,9.0,16.74,83.5,,,,,,,,
2018-02-18T07:08:33.079Z,1351.0,11.0,,8,9.0,18.97,83.5,,,,,,,,
2018-02-18T07:08:34.009Z,1644.0,14.0,,8,11.0,29.3,83.5,,,,,,,,
2018-02-18T07:08:35.089Z,1671.0,15.0,,8,12.0,34.38,83.1,,,,,,,,
2018-02-18T07:08:36.079Z,1670.0,15.0,,8,11.0,34.49,83.1,,,,,,,,
2018-02-18T07:08:37.009Z,1666.0,15.0,,8,11.0,35.13,83.1,,,,,,,,
2018-02-18T07:08:38.029Z,1676.0,15.0,,8,11.0,34.77,83.5,,,,,,,,
2018-02-18T07:08:39.019Z,1659.0,15.0,,8,10.0,33.63,83.1,,,,,,,,
2018-02-18T07:08:40.009Z,1631.0,14.0,,9,10.0,32.77,83.5,,,,,,,,
2018-02-18T07:08:41.059Z,1537.0,14.0,,9,10.0,32.16,83.5,,,,,,,,
2018-02-18T07:08:42.019Z,1228.0,10.0,,9,9.0,28.16,83.5,,,,,,,,
2018-02-18T07:08:43.009Z,1047.0,9.0,,9,7.0,20.83,83.5,,,,,,,,
2018-02-18T07:08:44.059Z,1022.0,9.0,,9,6.0,18.86,83.5,,,,,,,,
2018-02-18T07:08:45.049Z,1043.0,9.0,,9,6.0,18.97,83.5,,,,,,,,
2018-02-18T07:08:46.010Z,1043.0,9.0,,9,7.0,19.16,83.5,,,,,,,,
2018-02-18T07:08:47.089Z,1046.0,7.0,,9,7.0,19.19,83.5,,,,,,,,
2018-02-18T07:08:48.019Z,1045.0,5.0,,9,7.0,19.27,83.5,,,,,,,,
2018-02-18T07:08:49.009Z,1046.0,4.0,,9,7.0,19.3,83.5,,,,,,,,
2018-02-18T07:08:50.029Z,1042.0,2.0,,9,7.0,19.19,83.5,,,,,,,,
2018-02-18T07:08:51.020Z,1043.0,1.0,,10,7.0,18.97,83.5,,,,,,,,
2018-02-18T07:08:52.008Z,1041.0,0.0,,10,7.0,19.33,83.5,,,,,,,,
2018-02-18T07:08:53.059Z,1041.0,0.0,,10,7.0,19.13,83.5,,,,,,,,
2018-02-18T07:08:54.019Z,1041.0,0.0,,10,7.0,18.94,83.5,,,,,,,,
2018-02-18T07:08:55.039Z,1039.0,0.0,,10,7.0,19.05,83.5,,,,,,,,
2018-02-18T07:08:56.059Z,1040.0,0.0,,10,7.0,19.22,83.5,,,,,,,,
2018-02-18T07:08:57.079Z,1041.0,0.0,,10,7.0,19.08,83.5,,,,,,,,
2018-02-18T07:08:58.008Z,1040.0,0.0,,10,7.0,19.27,83.5,,,,,,,,
2018-02-18T07:08:59.059Z,983.0,0.0,,11,7.0,17.97,83.5,,,,,,,,
2018-02-18T07:09:00.020Z,997.0,3.0,,11,7.0,18.52,83.5,,,,,,,,
2018-02-18T07:09:01.015Z,997.0,5.0,,11,7.0,18.49,83.5,,,,,,,,
2018-02-18T07:09:02.059Z,1218.0,8.0,,11,7.0,22.02,83.5,,,,,,,,
2018-02-18T07:09:03.079Z,1114.0,4.0,,11,7.0,19.58,83.5,,,,,,,,
2018-02-18T07:09:04.009Z,1058.0,0.0,,11,7.0,18.99,83.5,,,,,,,,
2018-02-18T07:09:05.058Z,1044.0,0.0,,11,7.0,18.88,83.5,,,,,,,,
2018-02-18T07:09:06.079Z,1117.0,0.0,,11,7.0,20.47,83.5,,,,,,,,
2018-02-18T07:09:07.010Z,1189.0,0.0,,11,7.0,23.47,83.5,,,,,,,,
2018-02-18T07:09:08.058Z,1092.0,5.0,,11,8.0,23.13,83.5,,,,,,,,
2018-02-18T07:09:09.048Z,1168.0,10.0,,11,8.0,24.44,83.5,,,,,,,,
2018-02-18T07:09:10.069Z,1132.0,9.0,,11,8.0,24.63,83.5,,,,,,,,
2018-02-18T07:09:11.088Z,953.0,5.0,,11,7.0,17.11,83.5,,,,,,,,
2018-02-18T07:09:12.048Z,1115.0,3.0,,12,6.0,19.11,83.5,,,,,,,,
2018-02-18T07:09:13.009Z,983.0,2.0,,12,7.0,17.72,83.5,,,,,,,,
2018-02-18T07:09:14.059Z,1158.0,2.0,,12,6.0,18.05,83.5,,,,,,,,
2018-02-18T07:09:15.048Z,1088.0,3.0,,12,7.0,18.91,83.5,,,,,,,,
2018-02-18T07:09:16.009Z,968.0,3.0,,12,7.0,17.33,83.5,,,,,,,,
2018-02-18T07:09:17.059Z,985.0,6.0,,12,6.0,17.13,83.5,,,,,,,,
2018-02-18T07:09:18.048Z,1400.0,13.0,,12,9.0,23.94,83.5,,,,,,,,
2018-02-18T07:09:19.009Z,1176.0,13.0,,12,9.0,20.33,83.5,,,,,,,,
2018-02-18T07:09:20.059Z,1085.0,11.0,,12,8.0,18.63,83.5,,,,,,,,
2018-02-18T07:09:21.048Z,1042.0,4.0,,12,7.0,18.47,83.5,,,,,,,,
2018-02-18T07:09:22.009Z,1045.0,2.0,,12,7.0,18.61,83.5,,,,,,,,
2018-02-18T07:09:23.059Z,1041.0,2.0,,12,7.0,18.83,83.5,,,,,,,,
2018-02-18T07:09:24.049Z,1040.0,2.0,,12,7.0,18.8,83.5,,,,,,,,
2018-02-18T07:09:25.011Z,1039.0,2.0,,12,7.0,18.86,83.5,,,,,,,,
2018-02-18T07:09:26.059Z,953.0,4.0,,12,7.0,17.52,83.5,,,,,,,,
2018-02-18T07:09:27.049Z,958.0,7.0,,13,6.0,17.97,83.5,,,,,,,,
2018-02-18T07:09:28.010Z,1795.0,16.0,,13,8.0,29.13,83.5,,,,,,,,
2018-02-18T07:09:29.059Z,2097.0,19.0,,13,10.0,51.05,83.5,,,,,,,,
2018-02-18T07:09:30.049Z,2229.0,20.0,,13,12.0,41.11,83.5,,,,,,,,
2018-02-18T07:09:31.011Z,1190.0,20.0,,13,7.0,24.08,83.5,,,,,,,,
2018-02-18T07:09:32.059Z,1085.0,19.0,,13,7.0,18.36,83.5,,,,,,,,
2018-02-18T07:09:33.049Z,1044.0,16.0,,13,6.0,18.41,83.5,,,,,,,,
2018-02-18T07:09:34.011Z,1040.0,5.0,,14,6.0,18.63,83.5,,,,,,,,
2018-02-18T07:09:35.059Z,1039.0,4.0,,14,6.0,18.8,83.5,,,,,,,,
2018-02-18T07:09:36.049Z,1041.0,4.0,,14,6.0,18.77,83.5,,,,,,,,
2018-02-18T07:09:37.009Z,1040.0,3.0,,14,6.0,19.11,83.5,,,,,,,,
2018-02-18T07:09:38.001Z,1041.0,1.0,,14,7.0,19.05,83.5,,,,,,,,
2018-02-18T07:09:39.050Z,1038.0,1.0,,14,7.0,18.91,83.5,,,,,,,,
2018-02-18T07:09:40.039Z,1024.0,2.0,,14,7.0,18.66,83.5,,,,,,,,
2018-02-18T07:09:41.089Z,1049.0,3.0,,15,7.0,18.77,83.5,,,,,,,,
2018-02-18T07:09:42.048Z,982.0,4.0,,15,7.0,17.86,83.5,,,,,,,,
2018-02-18T07:09:43.039Z,977.0,7.0,,15,6.0,17.63,83.5,,,,,,,,
2018-02-18T07:09:44.030Z,1192.0,10.0,,15,7.0,24.97,83.5,,,,,,,,
2018-02-18T07:09:45.020Z,1284.0,15.0,,15,9.0,43.69,83.5,,,,,,,,
2018-02-18T07:09:46.009Z,1152.0,20.0,,15,11.0,20.69,31.0,,,,,,,,
2018-02-18T07:09:47.088Z,1538.0,27.0,,16,8.0,39.38,83.5,,,,,,,,
2018-02-18T07:09:48.026Z,1739.0,30.0,,16,10.0,33.99,83.5,,,,,,,,
2018-02-18T07:09:49.011Z,1691.0,29.0,,16,9.0,32.63,83.5,,,,,,,,
2018-02-18T07:09:50.037Z,1560.0,26.0,,16,9.0,29.47,83.5,,,,,,,,
2018-02-18T07:09:51.049Z,1612.0,28.0,,16,8.0,33.88,83.5,,,,,,,,
2018-02-18T07:09:52.039Z,1698.0,29.0,,16,8.0,36.66,83.5,,,,,,,,
2018-02-18T07:09:53.089Z,1800.0,31.0,,17,9.0,38.22,43.5,,,,,,,,
2018-02-18T07:09:54.079Z,1385.0,31.0,,17,7.0,26.94,83.5,,,,,,,,
2018-02-18T07:09:55.070Z,1389.0,35.0,,17,7.0,30.13,83.5,,,,,,,,
2018-02-18T07:09:56.088Z,1417.0,38.0,,17,7.0,27.05,83.5,,,,,,,,
2018-02-18T07:09:57.078Z,1434.0,38.0,,17,7.0,25.8,83.5,,,,,,,,
2018-02-18T07:09:58.070Z,1427.0,38.0,,17,7.0,25.52,83.5,,,,,,,,
2018-02-18T07:09:59.059Z,1425.0,38.0,,18,7.0,24.77,83.5,,,,,,,,
2018-02-18T07:10:00.078Z,1423.0,38.0,,18,7.0,24.74,83.5,,,,,,,,
2018-02-18T07:10:01.069Z,1419.0,38.0,,18,7.0,24.94,83.5,,,,,,,,
2018-02-18T07:10:02.088Z,1414.0,38.0,,18,7.0,25.08,83.5,,,,,,,,
2018-02-18T07:10:03.078Z,1397.0,38.0,,18,7.0,25.08,83.5,,,,,,,,
2018-02-18T07:10:04.068Z,1387.0,37.0,,19,7.0,24.27,83.5,,,,,,,,
2018-02-18T07:10:05.059Z,1358.0,37.0,,19,6.0,23.91,83.5,,,,,,,,
2018-02-18T07:10:06.078Z,1328.0,36.0,,19,6.0,23.27,83.5,,,,,,,,
2018-02-18T07:10:07.069Z,1300.0,35.0,,19,6.0,22.66,83.5,,,,,,,,
2018-02-18T07:10:08.059Z,1298.0,35.0,,19,6.0,22.55,83.5,,,,,,,,
2018-02-18T07:10:09.048Z,1289.0,34.0,,19,6.0,22.16,83.5,,,,,,,,
2018-02-18T07:10:10.068Z,1282.0,34.0,,19,6.0,21.99,83.5,,,,,,,,
2018-02-18T07:10:11.059Z,1273.0,34.0,,19,6.0,21.97,83.5,,,,,,,,
2018-02-18T07:10:12.019Z,1242.0,33.0,,20,6.0,20.88,83.5,,,,,,,,
2018-02-18T07:10:13.009Z,1042.0,31.0,,20,6.0,18.08,83.5,,,,,,,,
2018-02-18T07:10:14.089Z,1043.0,26.0,,20,5.0,18.13,83.5,,,,,,,,
2018-02-18T07:10:15.078Z,1039.0,20.0,,20,5.0,18.11,83.5,,,,,,,,
2018-02-18T07:10:16.068Z,1039.0,9.0,,20,5.0,18.47,83.5,,,,,,,,
2018-02-18T07:10:17.088Z,1038.0,5.0,,20,6.0,18.41,83.5,,,,,,,,
2018-02-18T07:10:18.078Z,1037.0,1.0,,20,6.0,18.74,83.5,,,,,,,,
2018-02-18T07:10:19.068Z,1038.0,0.0,,21,6.0,18.66,83.5,,,,,,,,
2018-02-18T07:10:20.088Z,1040.0,0.0,,21,6.0,18.63,83.5,,,,,,,,
2018-02-18T07:10:21.078Z,1040.0,0.0,,21,6.0,18.41,83.5,,,,,,,,
2018-02-18T07:10:22.069Z,1041.0,0.0,,21,6.0,18.41,83.5,,,,,,,,
2018-02-18T07:10:23.029Z,1040.0,0.0,,21,6.0,18.47,83.5,,,,,,,,
2018-02-18T07:10:24.019Z,1040.0,0.0,,21,6.0,18.58,83.5,,,,,,,,
2018-02-18T07:10:25.068Z,1047.0,0.0,,21,6.0,18.63,83.5,,,,,,,,
2018-02-18T07:10:26.058Z,1042.0,0.0,,22,6.0,18.91,83.5,,,,,,,,
2018-02-18T07:10:27.019Z,1042.0,0.0,,22,6.0,18.69,83.5,,,,,,,,
2018-02-18T07:10:28.009Z,1042.0,0.0,,22,6.0,18.91,83.5,,,,,,,,
2018-02-18T07:10:29.058Z,1041.0,0.0,,22,6.0,18.74,83.5,,,,,,,,
2018-02-18T07:10:30.049Z,1041.0,0.0,,22,6.0,18.41,83.5,,,,,,,,
2018-02-18T07:10:31.009Z,1039.0,0.0,,22,6.0,18.49,83.5,,,,,,,,
2018-02-18T07:10:32.088Z,1038.0,0.0,,22,6.0,18.8,83.5,,,,,,,,
2018-02-18T07:10:33.019Z,1038.0,0.0,,22,6.0,18.72,83.5,,,,,,,,
2018-02-18T07:10:34.040Z,1039.0,0.0,,23,6.0,18.49,83.5,,,,,,,,
2018-02-18T07:10:35.058Z,1039.0,0.0,,23,6.0,18.66,83.5,,,,,,,,
2018-02-18T07:10:36.078Z,1041.0,0.0,,23,6.0,18.91,83.5,,,,,,,,
2018-02-18T07:10:37.038Z,1040.0,0.0,,23,6.0,18.69,83.5,,,,,,,,
2018-02-18T07:10:38.029Z,1041.0,0.0,,23,6.0,18.55,83.5,,,,,,,,
2018-02-18T07:10:39.018Z,1040.0,0.0,,23,6.0,18.69,83.5,,,,,,,,
2018-02-18T07:10:40.009Z,986.0,0.0,,23,6.0,18.77,83.5,,,,,,,,
2018-02-18T07:10:41.088Z,978.0,8.0,,24,6.0,17.55,83.5,,,,,,,,
2018-02-18T07:10:42.049Z,1510.0,13.0,,24,6.0,34.49,83.5,,,,,,,,
2018-02-18T07:10:43.039Z,1913.0,17.0,,24,8.0,26.55,31.0,,,,,,,,
2018-02-18T07:10:44.088Z,1351.0,18.0,,24,7.0,23.83,83.5,,,,,,,,
2018-02-18T07:10:45.078Z,1243.0,21.0,,24,7.0,27.19,83.5,,,,,,,,
2018-02-18T07:10:46.068Z,1500.0,26.0,,24,8.0,40.69,83.5,,,,,,,,
2018-02-18T07:10:47.028Z,1904.0,33.0,,24,10.0,65.99,83.5,,,,,,,,
2018-02-18T07:10:48.018Z,2015.0,38.0,,24,11.0,29.47,31.0,,,,,,,,
2018-02-18T07:10:49.072Z,1602.0,43.0,,25,8.0,30.83,83.5,,,,,,,,
2018-02-18T07:10:50.032Z,1717.0,46.0,,25,10.0,50.63,83.5,,,,,,,,
2018-02-18T07:10:51.018Z,1718.0,46.0,,25,8.0,31.49,83.5,,,,,,,,
2018-02-18T07:10:52.068Z,1698.0,46.0,,25,7.0,30.55,83.5,,,,,,,,
2018-02-18T07:10:53.029Z,1682.0,45.0,,25,7.0,31.41,83.5,,,,,,,,
2018-02-18T07:10:54.020Z,1617.0,46.0,,25,7.0,40.02,83.5,,,,,,,,
2018-02-18T07:10:55.068Z,1365.0,47.0,,25,6.0,24.8,31.0,,,,,,,,
2018-02-18T07:10:56.031Z,1243.0,48.0,,26,6.0,28.77,83.5,,,,,,,,
2018-02-18T07:10:57.018Z,1295.0,50.0,,26,7.0,32.77,83.5,,,,,,,,
2018-02-18T07:10:58.068Z,1370.0,53.0,,26,7.0,28.52,83.5,,,,,,,,
2018-02-18T07:10:59.029Z,1388.0,54.0,,26,7.0,27.69,83.5,,,,,,,,
2018-02-18T07:11:00.028Z,1406.0,55.0,,26,6.0,28.99,83.5,,,,,,,,
2018-02-18T07:11:01.070Z,1418.0,55.0,,27,6.0,27.11,83.5,,,,,,,,
2018-02-18T07:11:02.029Z,1413.0,55.0,,27,6.0,25.58,83.5,,,,,,,,
2018-02-18T07:11:03.018Z,1369.0,54.0,,27,6.0,24.05,83.5,,,,,,,,
2018-02-18T07:11:04.067Z,1322.0,51.0,,27,6.0,24.58,83.5,,,,,,,,
2018-02-18T07:11:05.037Z,1322.0,51.0,,27,5.0,23.08,83.5,,,,,,,,
2018-02-18T07:11:06.019Z,1327.0,52.0,,28,6.0,23.8,83.5,,,,,,,,
2018-02-18T07:11:07.067Z,1328.0,52.0,,28,6.0,23.8,83.5,,,,,,,,
2018-02-18T07:11:08.059Z,1289.0,51.0,,28,6.0,22.88,83.5,,,,,,,,
2018-02-18T07:11:09.078Z,1297.0,50.0,,28,5.0,23.41,83.5,,,,,,,,
2018-02-18T07:11:10.008Z,1259.0,49.0,,28,5.0,22.83,83.5,,,,,,,,
2018-02-18T07:11:11.058Z,1194.0,46.0,,28,5.0,22.24,83.5,,,,,,,,
2018-02-18T07:11:12.019Z,1001.0,44.0,,29,5.0,18.05,83.5,,,,,,,,
2018-02-18T07:11:13.007Z,1245.0,40.0,,29,5.0,23.66,83.5,,,,,,,,
2018-02-18T07:11:14.059Z,1260.0,36.0,,29,5.0,18.58,83.5,,,,,,,,
2018-02-18T07:11:15.020Z,1031.0,27.0,,29,4.0,17.69,83.5,,,,,,,,
2018-02-18T07:11:16.008Z,1036.0,22.0,,29,4.0,18.02,83.5,,,,,,,,
2018-02-18T07:11:17.058Z,1035.0,17.0,,30,5.0,18.19,83.5,,,,,,,,
2018-02-18T07:11:18.021Z,1039.0,6.0,,30,5.0,18.27,83.5,,,,,,,,
2018-02-18T07:11:19.008Z,1038.0,1.0,,30,5.0,18.16,83.5,,,,,,,,
2018-02-18T07:11:20.060Z,1039.0,0.0,,30,5.0,18.19,83.5,,,,,,,,
2018-02-18T07:11:21.021Z,1039.0,0.0,,30,5.0,18.49,83.5,,,,,,,,
2018-02-18T07:11:22.009Z,1040.0,0.0,,30,5.0,18.36,83.5,,,,,,,,
2018-02-18T07:11:23.058Z,1039.0,0.0,,30,5.0,18.38,83.5,,,,,,,,
2018-02-18T07:11:24.019Z,1040.0,0.0,,31,5.0,18.44,83.5,,,,,,,,
2018-02-18T07:11:25.009Z,1039.0,0.0,,31,5.0,18.41,83.5,,,,,,,,
2018-02-18T07:11:26.058Z,1040.0,0.0,,31,5.0,18.36,83.5,,,,,,,,
2018-02-18T07:11:27.020Z,1040.0,0.0,,31,5.0,18.36,83.5,,,,,,,,
2018-02-18T07:11:28.008Z,1040.0,0.0,,31,5.0,18.3,83.5,,,,,,,,
2018-02-18T07:11:29.060Z,1040.0,0.0,,31,5.0,18.52,83.5,,,,,,,,
2018-02-18T07:11:30.020Z,1039.0,0.0,,31,5.0,18.55,83.5,,,,,,,,
2018-02-18T07:11:31.008Z,1040.0,0.0,,31,5.0,18.47,83.5,,,,,,,,
2018-02-18T07:11:32.059Z,1040.0,0.0,,32,5.0,18.19,83.5,,,,,,,,
2018-02-18T07:11:33.020Z,1039.0,0.0,,32,6.0,18.44,83.5,,,,,,,,
2018-02-18T07:11:34.008Z,1040.0,0.0,,32,6.0,18.3,83.5,,,,,,,,
2018-02-18T07:11:35.059Z,1040.0,0.0,,32,6.0,18.61,83.5,,,,,,,,
2018-02-18T07:11:36.020Z,1039.0,0.0,,32,6.0,18.72,83.5,,,,,,,,
2018-02-18T07:11:37.038Z,1060.0,9.0,,32,6.0,18.97,83.5,,,,,,,,
2018-02-18T07:11:38.029Z,1920.0,17.0,,32,6.0,22.49,83.5,,,,,,,,
2018-02-18T07:11:39.077Z,1827.0,21.0,,32,10.0,25.63,83.5,,,,,,,,
2018-02-18T07:11:40.067Z,1448.0,25.0,,32,9.0,34.97,83.5,,,,,,,,
2018-02-18T07:11:41.058Z,1863.0,32.0,,32,7.0,63.02,83.5,,,,,,,,
2018-02-18T07:11:42.049Z,2303.0,40.0,,32,11.0,75.88,83.5,,,,,,,,
2018-02-18T07:11:43.039Z,1762.0,42.0,,32,9.0,32.97,75.3,,,,,,,,
2018-02-18T07:11:44.028Z,1667.0,45.0,,33,7.0,50.97,83.5,,,,,,,,
2018-02-18T07:11:45.048Z,1944.0,52.0,,33,9.0,59.97,33.7,,,,,,,,
2018-02-18T07:11:46.039Z,1391.0,53.0,,33,8.0,27.38,80.0,,,,,,,,
2018-02-18T07:11:47.057Z,1411.0,55.0,,33,6.0,30.05,83.5,,,,,,,,
2018-02-18T07:11:48.048Z,1457.0,57.0,,33,6.0,26.77,83.5,,,,,,,,
2018-02-18T07:11:49.039Z,1508.0,59.0,,33,7.0,37.69,83.5,,,,,,,,
2018-02-18T07:11:50.028Z,1519.0,59.0,,33,7.0,28.83,83.5,,,,,,,,
2018-02-18T07:11:51.018Z,1513.0,59.0,,33,6.0,29.38,83.5,,,,,,,,
2018-02-18T07:11:52.038Z,1512.0,59.0,,33,6.0,31.69,83.5,,,,,,,,
