ts,rpm,speed_kph,engine_load_pct,coolant_temp_c,intake_temp_c,maf_gps,throttle_pct,stft_b1_pct,ltft_b1_pct,timing_adv_deg,fuel_press_kpa,o2_b1s1_v,dtc_code,dtc_status,dtc_description
2026-06-01T09:00:00Z,720,0,24,82,28,5.9,14,2.3,4.1,18,330,0.71,,,
2026-06-01T09:00:01Z,760,0,25,83,28,6.1,14,2.0,4.4,18,331,0.69,,,
2026-06-01T09:00:02Z,1150,12,31,84,29,9.8,18,3.8,5.0,21,334,0.73,,,
2026-06-01T09:00:03Z,1680,34,39,86,30,16.4,23,5.1,6.2,25,338,0.76,,,
2026-06-01T09:00:04Z,2120,54,46,88,31,24.7,31,6.8,7.9,29,342,0.79,,,
2026-06-01T09:00:05Z,2380,72,52,90,32,31.2,37,8.6,9.8,31,344,0.81,P0171,pending,System Too Lean Bank 1
2026-06-01T09:00:06Z,2450,80,49,91,32,32.8,35,9.1,10.7,32,343,0.78,,,
2026-06-01T09:00:07Z,2310,78,43,92,33,28.4,29,8.7,11.2,34,340,0.75,,,
2026-06-01T09:00:08Z,1960,64,37,92,33,20.9,22,7.9,11.5,36,337,0.72,,,
2026-06-01T09:00:09Z,1420,38,30,91,32,12.6,17,6.1,10.9,30,334,0.70,,,
2026-06-01T09:00:10Z,820,0,26,90,31,6.8,15,4.2,9.7,20,332,0.68,,,
2026-06-01T09:00:11Z,760,0,25,89,31,6.2,14,3.6,8.4,19,331,0.69,,,
