baseline_id,vehicle_id,metric,context,healthy_min,healthy_max,unit,source
1,1,coolant_temp_c,warm,82.0,105.0,C,manual
2,1,ltft_b1_pct,cruise,-10.0,10.0,%,manual
3,1,stft_b1_pct,cruise,-10.0,10.0,%,manual
4,1,engine_load_pct,idle,12.0,35.0,%,manual
5,1,timing_adv_deg,cruise,10.0,45.0,deg,manual
6,2,coolant_temp_c,warm,82.0,105.0,C,manual
7,2,ltft_b1_pct,cruise,-10.0,10.0,%,manual
8,2,stft_b1_pct,cruise,-10.0,10.0,%,manual
9,2,engine_load_pct,idle,12.0,35.0,%,manual
10,2,timing_adv_deg,cruise,10.0,45.0,deg,manual
11,3,coolant_temp_c,warm,82.0,105.0,C,manual
12,3,ltft_b1_pct,cruise,-10.0,10.0,%,manual
13,3,stft_b1_pct,cruise,-10.0,10.0,%,manual
14,3,engine_load_pct,idle,12.0,35.0,%,manual
15,3,timing_adv_deg,cruise,10.0,45.0,deg,manual
